genre_mode_primary,genre,story_zone,method,mean_sentiment_primary,ci_low_primary,ci_high_primary,n_films_primary,genre_mode_multi,mean_sentiment_multi,ci_low_multi,ci_high_multi,n_films_multi,multi_minus_primary
primary,Science Fiction,Opening,Full dialogue,0.2907942965157049,0.13042565163105138,0.44675720663674884,20,multi_label,0.1011422816304125,0.01756812612277766,0.18496445076553572,66,-0.18965201488529237
primary,Science Fiction,Inciting conflict,Full dialogue,-0.1060050853706493,-0.30290153152178834,0.0698609463584453,20,multi_label,0.005480968106319417,-0.08624683832012016,0.09378787118329357,66,0.11148605347696872
primary,Science Fiction,Escalation,Full dialogue,-0.0015413588683205518,-0.08271829963963727,0.07608586322160955,20,multi_label,0.004785800355990659,-0.05046334204594742,0.061758930167753,67,0.006327159224311211
primary,Science Fiction,Climax zone,Full dialogue,-0.13387232245476044,-0.26505614155603013,0.0010932294983318775,20,multi_label,-0.10514055811587082,-0.17133870167973617,-0.04499339085909754,66,0.028731764338889618
primary,Science Fiction,Resolution,Full dialogue,-0.04839094172316097,-0.27131771781293573,0.1741266387280277,22,multi_label,-0.04392947057911199,-0.14906390115313217,0.059018136588526636,73,0.004461471144048976
primary,Thriller,Opening,Full dialogue,0.0941602010676099,0.011478241988588482,0.17845899859580158,31,multi_label,0.12551520142210168,0.07606748091427662,0.1781548552692803,149,0.03135500035449178
primary,Thriller,Inciting conflict,Full dialogue,0.09212270063687943,0.005789677834026439,0.17316049666246738,31,multi_label,0.053678746694445285,0.005056083461409606,0.1036274870901526,153,-0.03844395394243414
primary,Thriller,Escalation,Full dialogue,0.05988792662385503,-0.030584068824708755,0.16449672014439465,32,multi_label,0.022110035689396155,-0.026429669847387188,0.06715210322872629,159,-0.03777789093445888
primary,Thriller,Climax zone,Full dialogue,-0.013424068814218967,-0.12241987396966143,0.10369057840955379,32,multi_label,-0.060432680584165496,-0.11153896436492841,-0.004023234000156165,157,-0.04700861176994653
primary,Thriller,Resolution,Full dialogue,0.013995420458454505,-0.1380539880701084,0.17740255693684956,34,multi_label,-0.045972093611421065,-0.11783043557370991,0.026479160901123053,170,-0.05996751406987557
primary,War,Opening,Full dialogue,-0.05837333333333333,-0.60815,0.37159916666666665,4,multi_label,0.05623004802889416,-0.1574442348132637,0.25179296399433887,13,0.1146033813622275
primary,War,Inciting conflict,Full dialogue,0.07199384469696969,-0.19701458333333333,0.35152083333333334,4,multi_label,0.1820061647166198,0.032354945058301915,0.32973891271171224,14,0.1100123200196501
primary,War,Escalation,Full dialogue,-0.0705270936775902,-0.3040236842105263,0.1629694968553459,4,multi_label,-0.0011949212858930866,-0.17780640181897078,0.19487638553337908,14,0.06933217239169712
primary,War,Climax zone,Full dialogue,-0.032100491207387755,-0.12199294871794872,0.05512110472541508,4,multi_label,-0.04667553061283125,-0.26652056013514236,0.1633148176192434,14,-0.014575039405443496
primary,War,Resolution,Full dialogue,-0.08234696428571428,-0.2919825,0.14337910714285715,4,multi_label,-0.21614777455224513,-0.4022162959871827,-0.05741107121848742,15,-0.13380081026653085
primary,Western,Opening,Full dialogue,0.036098464912280706,-0.255625,0.2925625,3,multi_label,0.10111707894736843,-0.09938949999999999,0.3059405,5,0.06501861403508773
primary,Western,Inciting conflict,Full dialogue,0.26982319444444447,0.09083124999999999,0.5402133333333333,3,multi_label,0.2430297009803922,0.059205735294117656,0.42983591666666665,5,-0.02679349346405227
primary,Western,Escalation,Full dialogue,0.09673999548328815,-0.05844166666666667,0.29590555555555553,3,multi_label,0.07472157360819676,-0.06820414943442914,0.2217364204578216,5,-0.0220184218750914
primary,Western,Climax zone,Full dialogue,-0.0688477380952381,-0.2010875,0.03063,3,multi_label,0.029745268949400532,-0.10509785135135134,0.18708729526519002,5,0.09859300704463864
primary,Western,Resolution,Full dialogue,0.2659952380952381,0.014466666666666657,0.6109333333333334,3,multi_label,0.14217105751391468,-0.27195681354359924,0.5378441558441558,7,-0.12382418058132344
